diabetes,age_min,age_max,age_mean,age_median,age_std,bmi_min,bmi_max,bmi_mean,bmi_median,bmi_std,HbA1c_level_min,HbA1c_level_max,HbA1c_level_mean,HbA1c_level_median,HbA1c_level_std,blood_glucose_level_min,blood_glucose_level_max,blood_glucose_level_mean,blood_glucose_level_median,blood_glucose_level_std,cases
0,0.08,80.0,40.31,40.0,22.31,10.01,71.55,26.88,27.32,6.31,3.5,6.6,5.4,5.8,0.97,80,200,132.4,140.0,33.92,9936
1,3.0,80.0,60.93,62.0,14.55,10.98,88.72,32.0,29.98,7.56,5.7,9.0,6.93,6.6,1.08,126,300,194.03,160.0,58.63,8482
